,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
27,"@alcaldiagye @PUFSD_ @CynthiaViteri6 YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",40,0,0,3,0,0
28,"CONOZCA al Verdadero GUILLERMO LASSO JURA  ""MANO DURA SI HAY UN NUEVO OC... https://t.co/nJDYvL3CMu a través de @YouTube",18,1,0,1,0,0
29,@lourdestiban1 Lasso va a hacer lo necesario para hacer crecer economía de mas pobres. Pero no con su receta. Uds no ganaron la Presidencia la ganó Guillermo Lasso.escuchen 1ero sus propuestas q lo q proponen no necesariamente es la vía. NO JODAN ANTES DE TIEMPO NI EXIJAN COMO DUEÑOS D CIRCO,51,0,0,1,26,1
30,"@SaulJimbo @msjijon @semarco @LassoGuillermo @SERCOPec Lasso está dando oportunidad a los mejores profesionales del Ecuador, mejor si son de oposición para tener un gobierno equilibrado. Bien Guillermo 👏🇪🇨",28,0,0,5,0,0
31,"@mserranoduenas @msjijon @gladys_con_y @LassoGuillermo @SERCOPec Lasso está dando oportunidad a los mejores profesionales del Ecuador, mejor si son de oposición para tener un gobierno equilibrado. Bien Guillermo 👏🇪🇨",28,0,0,5,0,0
32,"@ferbarzallo83 @LassoGuillermo Lasso está dando oportunidad a los mejores profesionales del Ecuador, mejor si son de oposición para tener un gobierno equilibrado. Bien Guillermo 👏🇪🇨",25,0,0,2,0,0
33,"@DiaMon25913458 @LassoGuillermo Lasso está dando oportunidad a los mejores profesionales del Ecuador, mejor si son de oposición para tener un gobierno equilibrado. Bien Guillermo 👏🇪🇨",25,0,0,2,0,0
34,"#12Jun | Guillermo Lasso, presidente de Ecuador 🇪🇨, anunció que un plan de vacunación para administrar las dosis contra el #COVID_19 a 9 millones de personas en los próximos 100 días. https://t.co/kNEl7FzQ2k",32,1,2,0,1,0
35,"@Almagro_OEA2015 @RGrynspan @UNCTAD YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",40,0,0,3,0,0
36,@soynelson5 @APACHE_EC @LassoGuillermo Usted presidente Guillermo Lasso a sido mentiroso que comienza a burlarse del país poniendo a estos corruptos correistas en puestos públicos de su gobierno que mismo quiere hacer con el país o que acuerdo tiene usted con estas plagas,42,0,0,3,0,1
